# timestamp,observer_id,node_id,errormessage
1537482613.0002550,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002480,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002685,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002370,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002615,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002435,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002605,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002590,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002450,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002325,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002700,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002565,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002415,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002470,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002400,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002525,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002445,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002475,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002590,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002285,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002535,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002575,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002365,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002555,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002500,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002530,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002520,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002475,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002695,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002725,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002420,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002590,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002510,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002410,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002435,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002525,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002575,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002615,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002640,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002615,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002640,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002370,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002600,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002510,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002595,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002355,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002470,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002675,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002335,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002570,33,33, Missing tracing events: PinLevels(hex) : 0x0
1537482613.0002500,33,33, Missing tracing events: PinLevels(hex) : 0x0
